Isolate,Cluster
YJS5301,Admixed
YJS5302,Wine 3
YJS5310,Kombucha
YJS5319,Wine 3
YJS5320,Wine 3
YJS5334,Admixed
YJS5340,Kombucha
YJS5344,Kombucha
YJS5345,Wine 3
YJS5347,Wine 3
YJS5349,Admixed
YJS5357,Wine 3
YJS5363,Kombucha
YJS5368,Kombucha
YJS5373,Wine 3
YJS5382,Triploid group admixed W3/K
YJS5384,Admixed
YJS5385,Wine 3
YJS5392,Wine 3
YJS5396,Beer
YJS5397,Beer
YJS5398,Admixed
YJS5400,Beer
YJS5402,Admixed
YJS5406,Admixed
YJS5407,Kombucha
YJS5408,Wine 1
YJS5413,Admixed
YJS5416,Triploid group admixed W3/K
YJS5417,Admixed
YJS5420,Kombucha
YJS5422,Wine 3
YJS5426,Wine 3
YJS5431,Admixed
YJS5434,Wine 1
YJS5440,Wine 3
YJS5445,Wine 1
YJS5447,Wine 3
YJS5449,Wine 3
YJS5453,Wine 3
YJS5454,Beer
YJS5456,Wine 3
YJS5458,Wine 3
YJS5459,Wine 1
YJS5461,Wine 3
YJS5463,Wine 3
YJS5469,Wine 1
YJS5473,Wine 1
YJS5476,Wine 1
YJS5478,Wine 1
YJS5479,Wine 3
YJS5485,Wine 3
YJS5487,Wine 1
YJS7800,NA
YJS7801,Triploid group admixed W3/K
YJS7802,Wine 3
YJS7803,Wine 1
YJS7804,Triploid group admixed W3/K
YJS7805,Teq/EtOH
YJS7806,Wine 3
YJS7807,Triploid group admixed W3/K
YJS7809,Triploid group admixed W3/K
YJS7810,Beer
YJS7811,Triploid group admixed W3/K
YJS7812,Triploid group admixed W3/K
YJS7813,Beer
YJS7814,Beer
YJS7815,Beer
YJS7816,Beer
YJS7817,Beer
YJS7818,Beer
YJS7819,NA
YJS7820,NA
YJS7821,NA
YJS7822,NA
YJS7823,Triploid group admixed W3/K
YJS7824,Triploid group admixed W3/K
YJS7825,Triploid group admixed W3/K
YJS7826,Triploid group admixed W3/K
YJS7827,NA
YJS7828,Teq/EtOH
YJS7829,Teq/EtOH
YJS7830,Triploid group admixed W3/K
YJS7831,Kombucha
YJS7833,Wine 3
YJS7834,Wine 3
YJS7835,Wine 3
YJS7836,Triploid group admixed W3/K
YJS7838,Wine 1
YJS7839,Teq/EtOH
YJS7840,Triploid group admixed W3/K
YJS7841,Wine 3
YJS7842,NA
YJS7843,Beer
YJS7844,Wine 3
YJS7845,Wine 3
YJS7846,NA
YJS7847,Beer
YJS7848,Wine 3
YJS7849,Wine 3
YJS7850,Wine 3
YJS7851,Wine 3
YJS7852,Wine 3
YJS7853,Triploid group admixed W3/K
YJS7854,NA
YJS7855,Beer
YJS7856,Wine 3
YJS7857,NA
YJS7858,NA
YJS7859,NA
YJS7860,NA
YJS7861,Beer
YJS7862,Wine 3
YJS7863,Wine 3
YJS7864,NA
YJS7865,Beer
YJS7866,Beer
YJS7867,NA
YJS7868,Beer
YJS7869,NA
YJS7870,Beer
YJS7871,Beer
YJS7872,Wine 1
YJS7873,Beer
YJS7874,Wine 3
YJS7875,Wine 3
YJS7876,NA
YJS7877,Beer
YJS7878,Beer
YJS7879,Kombucha
YJS7880,Wine 3
YJS7881,Wine 1
YJS7882,Beer
YJS7883,Wine 3
YJS7884,NA
YJS7885,Admixed
YJS7886,NA
YJS7887,Triploid group admixed W3/K
YJS7888,Wine 3
YJS7889,Admixed
YJS7890,Teq/EtOH
YJS7891,Triploid group admixed W3/K
YJS7892,Wine 3
YJS7893,Triploid group admixed W3/K
YJS7894,Triploid group admixed W3/K
YJS7895,Beer
YJS7900,Wine 1
YJS7901,NA
YJS7902,Wine 1
YJS7903,Wine 1
YJS7904,NA
YJS7905,Wine 1
YJS7906,Triploid group admixed W3/K
YJS7907,NA
YJS7908,Beer
YJS7909,Kombucha
YJS7910,Kombucha
YJS7911,Wine 3
YJS7912,Wine 3
YJS7913,Wine 3
YJS7914,Wine 3
YJS7915,Wine 3
YJS7916,Wine 3
YJS7917,Wine 3
YJS7918,Wine 3
YJS7919,Beer
YJS7920,Wine 3
YJS7923,Kombucha
YJS7922,Wine 3
YJS7947,Kombucha
YJS7924,Beer
YJS7925,Beer
YJS7926,Beer
YJS7928,Beer
YJS7929,NA
YJS7930,Wine 3
YJS7931,Wine 3
YJS7932,Beer
YJS7933,NA
YJS7934,Beer
YJS7935,Wine 3
YJS7936,Beer
YJS7937,NA
YJS7938,NA
YJS7939,Beer
YJS7940,NA
YJS7941,Beer
YJS7943,NA
YJS7944,Beer
YJS7945,Beer
YJS7946,Beer
YJS7965,Kombucha
YJS7948,Wine 1
YJS7949,Wine 3
YJS7950,Wine 3
YJS7952,NA
YJS7953,NA
YJS7954,NA
YJS7955,Wine 3
YJS7956,Wine 1
YJS7957,Beer
YJS7958,Admixed
YJS7959,Triploid group admixed W3/K
YJS7960,Triploid group admixed W3/K
YJS7961,Wine 3
YJS7962,Beer
YJS7963,Wine 3
YJS8019,Kombucha
YJS7966,Beer
YJS7967,Wine 3
YJS7968,Wine 3
YJS7969,Wine 3
YJS7970,Wine 1
YJS7971,Wine 1
YJS7972,Wine 1
YJS7973,Wine 3
YJS7974,Wine 3
YJS7975,Wine 3
YJS7976,Wine 3
YJS7977,Wine 3
YJS7978,Wine 3
YJS7979,Wine 3
YJS7980,Wine 1
YJS7981,Wine 3
YJS7982,Wine 3
YJS7983,NA
YJS7984,Wine 1
YJS7985,Beer
YJS7986,Wine 1
