"STD_name","clades"
"AAA","01. Wine/European"
"AAB","07. Mosaic beer"
"AAC","11. Ale beer"
"AAD","25. Sake"
"AAE","01. Wine/European"
"AAG","M3. Mosaic region 3"
"AAH","Unclustered"
"AAI","01. Wine/European"
"AAK","01. Wine/European"
"AAL","08. Mixed origin"
"AAM","08. Mixed origin"
"AAN","08. Mixed origin"
"AAP","08. Mixed origin"
"AAQ","07. Mosaic beer"
"AAR","07. Mosaic beer"
"AAS","M3. Mosaic region 3"
"AAT","M3. Mosaic region 3"
"AAV","M3. Mosaic region 3"
"ABA","M3. Mosaic region 3"
"ABB","26. Asian fermentation"
"ABC","M3. Mosaic region 3"
"ABD","M3. Mosaic region 3"
"ABE","01. Wine/European"
"ABF","M3. Mosaic region 3"
"ABG","M3. Mosaic region 3"
"ABH","M3. Mosaic region 3"
"ABI","M3. Mosaic region 3"
"ABK","M3. Mosaic region 3"
"ABL","Unclustered"
"ABM","02. Alpechin"
"ABP","01. Wine/European"
"ABQ","01. Wine/European"
"ABR","01. Wine/European"
"ABS","01. Wine/European"
"ABT","01. Wine/European"
"ABV","08. Mixed origin"
"ACA","M3. Mosaic region 3"
"ACB","M3. Mosaic region 3"
"ACC","21. Ecuadorean"
"ACD","23. North American oak"
"ACF","01. Wine/European"
"ACG","M1. Mosaic region 1"
"ACH","M1. Mosaic region 1"
"ACI","M3. Mosaic region 3"
"ACK","26. Asian fermentation"
"ACL","M3. Mosaic region 3"
"ACM","26. Asian fermentation"
"ACN","M3. Mosaic region 3"
"ACP","01. Wine/European"
"ACQ","18. Far East Asia"
"ACR","01. Wine/European"
"ACS","M1. Mosaic region 1"
"ACT","01. Wine/European"
"ACV","01. Wine/European"
"ADA","M3. Mosaic region 3"
"ADB","01. Wine/European"
"ADC","01. Wine/European"
"ADD","01. Wine/European"
"ADE","Unclustered"
"ADF","13. African palm wine"
"ADG","Unclustered"
"ADH","26. Asian fermentation"
"ADI","01. Wine/European"
"ADK","M3. Mosaic region 3"
"ADL","08. Mixed origin"
"ADM","08. Mixed origin"
"ADN","25. Sake"
"ADP","08. Mixed origin"
"ADQ","25. Sake"
"ADR","01. Wine/European"
"ADS","01. Wine/European"
"ADT","M3. Mosaic region 3"
"ADV","13. African palm wine"
"AEA","07. Mosaic beer"
"AEB","11. Ale beer"
"AEC","11. Ale beer"
"AEE","M3. Mosaic region 3"
"AEF","25. Sake"
"AEG","03. Brazilian bioethanol"
"AEH","03. Brazilian bioethanol"
"AEI","M3. Mosaic region 3"
"AEK","01. Wine/European"
"AEL","M3. Mosaic region 3"
"AEM","08. Mixed origin"
"AEN","06. African beer"
"AEP","26. Asian fermentation"
"AEQ","07. Mosaic beer"
"AER","M2. Mosaic region 2"
"AES","01. Wine/European"
"AET","01. Wine/European"
"AEV","08. Mixed origin"
"AFA","07. Mosaic beer"
"AFB","07. Mosaic beer"
"AFC","08. Mixed origin"
"AFD","03. Brazilian bioethanol"
"AFE","08. Mixed origin"
"AFF","08. Mixed origin"
"AFG","M3. Mosaic region 3"
"AFH","26. Asian fermentation"
"AFI","01. Wine/European"
"AFK","24. Asian islands"
"AFL","06. African beer"
"AFM","25. Sake"
"AFN","25. Sake"
"AFP","07. Mosaic beer"
"AFQ","M2. Mosaic region 2"
"AFR","03. Brazilian bioethanol"
"AFS","Unclustered"
"AFT","08. Mixed origin"
"AFV","01. Wine/European"
"AGA","01. Wine/European"
"AGB","11. Ale beer"
"AGC","Unclustered"
"AGE","08. Mixed origin"
"AGF","01. Wine/European"
"AGG","26. Asian fermentation"
"AGH","01. Wine/European"
"AGI","01. Wine/European"
"AGK","08. Mixed origin"
"AGL","01. Wine/European"
"AGM","03. Brazilian bioethanol"
"AGN","M1. Mosaic region 1"
"AGP","M3. Mosaic region 3"
"AGR","24. Asian islands"
"AGS","01. Wine/European"
"AGT","M3. Mosaic region 3"
"AGV","01. Wine/European"
"AHA","M3. Mosaic region 3"
"AHB","Unclustered"
