StandardizedName,Clade,SuperClade,PositionOnTree
AAA,6. West Europe Wine,S1. Wine,476
AAB,12. Belgium Beer 1,NA,1331
AAC,19. UK Beer,S2. Beer,1719
AAD,29. Sake,S3. Asian Fermentation,2470
AAE,5. Georgian Wine,S1. Wine,448
AAG,NA,NA,2227
AAH,NA,NA,1638
AAI,1. AU Wine 1,S1. Wine,191
AAK,5. Georgian Wine,S1. Wine,393
AAL,20. Mixed Origins 1,S2. Beer,1772
AAM,20. Mixed Origins 1,S2. Beer,1773
AAN,20. Mixed Origins 1,S2. Beer,1859
AAP,20. Mixed Origins 1,S2. Beer,1854
AAQ,12. Belgium Beer 1,NA,1333
AAR,12. Belgium Beer 1,NA,1377
AAS,25. US Clinical 1,NA,2126
AAT,25. US Clinical 1,NA,2119
AAV,25. US Clinical 1,NA,2140
ABA,NA,NA,2132
ABB,30. Mantou,S3. Asian Fermentation,2562
ABC,32. US Clinical 3,NA,2634
ABD,NA,NA,2180
ABE,1. AU Wine 1,S1. Wine,125
ABF,NA,NA,2295
ABG,25. US Clinical 1,NA,2113
ABH,NA,NA,2213
ABI,25. US Clinical 1,NA,2096
ABK,25. US Clinical 1,NA,2128
ABL,36. North American Wild,S4. Wild,2819
ABM,3. Alpechin,NA,307
ABP,7. AU Wine 3,S1. Wine,683
ABQ,1. AU Wine 1,S1. Wine,30
ABR,1. AU Wine 1,S1. Wine,29
ABS,6. West Europe Wine,S1. Wine,533
ABT,7. AU Wine 3,S1. Wine,672
ABV,20. Mixed Origins 1,S2. Beer,1844
ACA,24. Lab Strains,NA,2060
ACB,24. Lab Strains,NA,2061
ACC,34. South American Wild,S4. Wild,2710
ACD,39. Asian Oak,S4. Wild,3023
ACF,1. AU Wine 1,S1. Wine,74
ACG,NA,NA,1285
ACH,NA,NA,1286
ACI,NA,NA,2639
ACK,30. Mantou,S3. Asian Fermentation,2561
ACL,NA,NA,2292
ACM,30. Mantou,S3. Asian Fermentation,2558
ACN,24. Lab Strains,NA,2047
ACP,1. AU Wine 1,S1. Wine,165
ACQ,35. Chinese Wild,S4. Wild,2744
ACR,6. West Europe Wine,S1. Wine,558
ACS,NA,NA,1539
ACT,7. AU Wine 3,S1. Wine,816
