"Level","Name","ShortName","TreePos","Color"
"Clade","1. AU Wine 1","AUW1",122.116182572614,"#4D194D"
"Clade","2. AU Wine 2","AUW2",270.888888888889,"#6C1338"
"Clade","3. Alpechin","ALP",307.5,"#FF7B00"
"Clade","4. Commercial Wine","COW",346.5,"#8B0E24"
"Clade","5. Georgian Wine","GEW",420,"#571746"
"Clade","6. West Europe Wine","WEW",531.5,"#C41913"
"Clade","7. AU Wine 3","AUW3",749.014869888476,"#950C1D"
"Clade","8. AU Wine 4","AUW4",1030.95238095238,"#61153F"
"Clade","9. AU Wine 5","AUW5",1187.85185185185,"#80102B"
"Clade","10. AU Wine 6","AUW6",1236.390625,"#9F0B17"
"Clade","11. Brazilian Bioethanol","BRB",1310.6,"#DC6655"
"Clade","12. Belgium Beer 1","BEB1",1354.73913043478,"#BF0603"
"Clade","13. French Dairy","FRD",1409.3,"#F3B397"
"Clade","14. Mediterranean Oak","MEO",1452.5,"#49A078"
"Clade","15. African Beer","AFB",1503.83606557377,"#761232"
"Clade","16. Canadian Wine","CAW",1572.35,"#B40709"
"Clade","17. Israel Wild","ISW",1614.45454545455,"#69AD9E"
"Clade","18. Belgium Beer 2","BEB2",1675,"#D65345"
"Clade","19. UK Beer","UKB",1733,"#AA0910"
"Clade","20. Mixed Origins 1","MIX1",1825.64150943396,"#FFAB00"
"Clade","21. Mixed Origins 2","MIX2",1918,"#FF8700"
"Clade","22. French Guiana Human","FGH",1972.5,"#FFB700"
"Clade","23. Mexican Agave","MEX",2017.51111111111,"#E17966"
"Clade","24. Lab Strains","LAB",2062.2962962963,"#FF9300"
"Clade","25. US Clinical 1","USC1",2117.92682926829,"#FFC300"
"Clade","26. West African Cocoa","WAC",2159.1,"#CA2C24"
"Clade","27. US Clinical 2","USC2",2274,"#FF9F00"
"Clade","28. Baiju","BAI",2378.05504587156,"#F9C6A8"
"Clade","29. Sake","SAK",2464.5,"#E78C76"
"Clade","30. Mantou","MAN1",2531.12857142857,"#D03F34"
"Clade","31. Huangjiu","MAN2",2598.5,"#EDA087"
"Clade","32. US Clinical 3","USC3",2632,"#FFD000"
"Clade","33. African Palm Wine","APW",2668,"#FFDAB9"
"Clade","34. South American Wild","SAW",2704,"#59A68B"
"Clade","35. Chinese Wild","CHW",2776,"#79B4B1"
"Clade","36. North American Wild","NAW",2832.61290322581,"#AAC9EB"
"Clade","37. Taiwan Wild 1","TAW1",2879.79069767442,"#8ABBC5"
"Clade","38. Taiwan Wild 2","TAW2",2932.19444444444,"#BBD0FF"
"Clade","39. Asian Oak","ASO",2995.05714285714,"#9AC2D8"
"SuperClade","S1. Wine","WIN",636.159683794466,"#950C1D"
"SuperClade","S2. Beer","BEE",1793.48709677419,"#FFAB00"
"SuperClade","S3. Asian Fermentation","ASF",2473.59344262295,"#E78C76"
"SuperClade","S4. Wild","WIL",2861.03790087464,"#BBD0FF"
